"strategy_class","mean_dom","beta_dom","mean_div","beta_div"
"Explorer",0.124716666666667,0.00772279192724465,20.3583333333333,1.02731630371507
"Opportunist",0.125852777777778,0.00599787991644243,18.6027777777778,1.34450970588031
"Specialist",0.1259,0.00700025973544099,16.4916666666667,1.39574570055081
